"xl" "yl"
"1" 0.635927279945463 10.9070791637228
"2" 8.31013967515901 5.89499334230761
"3" 8.97235704120249 7.44312807112978
"4" 9.98221081215888 7.28043261294853
"5" 3.82876877905801 3.5515378583951
"6" 3.95153378834948 2.63418650442257
"7" 6.6200175951235 2.7816901376224
"8" 2.92288219323382 3.62339939197208
"9" 5.2229391457513 5.93847706429068
"10" 1.90308363642544 3.75651831270178
"11" 8.7692814017646 5.2343902564372
"12" 5.81771618919447 4.68493780233438
"13" 7.02048741513863 5.41881309440789
"14" 8.8147481624037 5.59675827595032
"15" 5.85993679473177 4.04913124802477
"16" 6.95765888318419 5.25718352177671
"17" 1.31217073881999 4.19330348111846
"18" 4.05363301746547 5.34326119562219
"19" 4.46233650203794 5.51373074829317
"20" 6.43953137565404 5.11885061106203
"21" 5.94210798619315 5.54028655500187
"22" 2.86305935122073 4.05828028903703
"23" 1.39585737138987 2.10290958857953
"24" 8.97492564981803 7.5707159557927
"25" 8.17112188553438 8.82033167202277
"26" 1.38629453256726 2.79450522857102
"27" 9.69842169899493 6.12158777664365
"28" 8.98881059605628 6.95313706892928
"29" 8.84042493533343 6.66101343508788
"30" 6.66419842047617 7.37077460167625
"31" 8.17907338263467 6.14395398950839
"32" 3.64231180166826 3.68435883373233
"33" 5.4257683060132 4.81083936004775
"34" 2.2223663283512 1.71789398023839
"35" 8.96977127064019 5.92550314063217
"36" 8.33898008102551 4.83382989938972
"37" 2.47972309822217 4.86361085396884
"38" 7.64937114901841 5.59286914756369
"39" 3.81310959579423 4.06596868183104
"40" 5.65283455653116 6.86602760386938
"41" 8.2286129728891 7.6964129628709
"42" 0.641093228477985 -0.620110793257022
"43" 8.37525825249031 6.83920296990929
"44" 9.84994858736172 9.435520240986
"45" 3.60154219670221 3.41655102719105
"46" 7.74048242019489 4.27916596314806
"47" 2.00956455431879 3.4458103985983
"48" 4.90739893401042 3.55677567521951
"49" 1.79811601294205 2.10640983968598
"50" 3.87455801246688 3.94102317287736
"51" 9.611903259065 6.06328868560724
"52" 6.38498712098226 5.65300519441808
"53" 0.626584812998772 4.60234929751779
"54" 9.01147668715566 7.24287484925515
"55" 6.14260193891823 3.73138882133194
"56" 9.04398285085335 6.8984700657535
"57" 9.26674148999155 7.69603615164505
"58" 6.30593275651336 5.71578505634717
"59" 9.4763631769456 6.5239894888534
"60" 6.99396308278665 5.52100138890037
"61" 2.96414207201451 4.45290006739952
"62" 3.78045448102057 3.42551559422688
"63" 3.45270356861874 3.95238817988523
"64" 2.46572079136968 3.38934067106464
"65" 1.79137435974553 4.02529897110981
"66" 1.85985930729657 3.46076175629224
"67" 0.566883566789329 2.50141664306676
"68" 8.84201565990224 6.13395874994636
"69" 2.55793410120532 4.73472757007516
"70" 1.24133710516617 2.36131751157798
"71" 3.95815094234422 2.90121315980936
"72" 7.3007807857357 7.52031032750158
"73" 4.72145801177248 2.64574500439471
"74" 6.99352274881676 7.11601483172112
"75" 9.32786460965872 8.00734644863697
"76" 3.35274460492656 2.94748568842709
"77" 6.70953036751598 7.28534572444671
"78" 4.63535690447316 2.30504999876574
"79" 7.60491942521185 4.23480523572113
"80" 2.01758956769481 2.55040358952458
"81" 0.246315926779062 2.29827864177208
"82" 4.75716471672058 4.38381377822628
"83" 7.40285772830248 5.22752062445674
"84" 3.48983296426013 3.7344678860565
"85" 8.5783576965332 7.37683317937264
"86" 5.59169203508645 3.94035724742464
"87" 2.80857757665217 4.26513416247195
"88" 9.44430392701179 7.21823455028138
"89" 5.8556994702667 5.5799961526249
"90" 0.354817658662796 -0.146474935326423
"91" 2.50739561161026 3.61014167498597
"92" 9.13405637722462 5.14430781450462
"93" 6.32533485768363 5.37997066101557
"94" 3.83350160904229 4.59430958360681
"95" 0.583885011728853 1.43016415914871
"96" 5.96632040571421 4.84734889308884
"97" 7.78283787425607 6.39401290927114
"98" 5.43727546231821 4.29346178527497
"99" 3.77525119809434 5.47034010654738
"100" 4.91207356797531 1.30540099268648
